_id,",brand
139805088,Lenovo,"Lenovo IdeaPad 300-15IBR
139805089,Lenovo,"Lenovo IdeaPad 110-15IBR
139805092,Lenovo,Lenovo IdeaPad 310-15ISK (80SM00QJRK)
140249601,ASUS,"ASUS ZenBook 3 UX390UA
140249602,ASUS,"ASUS ZenBook 3 UX390UA
140249603,ASUS,"ASUS K501UQ
140249620,ASUS,"Ноутбук ASUS X756UQ
140249590,ASUS,"ASUS R209HA
139934551,Acer,"Acer Aspire F5-771G-79TJ
139934548,Acer,"Acer Aspire F5-771G-54NA
140430182,Acer,"Acer Extensa EX2540-51WG
140430185,Acer,"Acer Extensa EX2540-53CE
140430186,Acer,"Acer Extensa EX2540-542P
140430204,ASUS,"ASUS VivoBook X556UQ
140430207,ASUS,"ASUS X540LJ-XX771T
140023861,ASUS,"Ноутбук ASUS K501UQ-DM068D
140023863,ASUS,"ASUS K501UW-DM009T
140534122,ASUS,ASUS ROG G752VS (G752VS-GB136T)
140260998,Dell,"Dell Inspiron 3552 (1295)
140261003,Packard Bell,"Packard Bell ENLG81BA-P5GN
140261026,Dell,"Dell Inspiron 5368 (5438)
140261039,Lenovo,"Lenovo IdeaPad 300-17ISK
140261044,Lenovo,"Lenovo IdeaPad 700-15ISK
140261045,Lenovo,"Lenovo IdeaPad 700-17ISK
140534130,ASUS,"Ноутбук ASUS Transformer 3 T305CA
140534134,ASUS,"ASUS X751LB
140534121,ASUS,"Игровой ноутбук ASUS FX502VM
140261004,Packard Bell,Packard Bell ENTE70BH-38WW (NX.C4BER.003)
140261005,Packard Bell,"Packard Bell ENTG81BA-C2KW
140261006,Packard Bell,"Packard Bell ENTG81BA-C9WV
140261007,Packard Bell,"Packard Bell ENTG81BA-P1MV
140261008,Packard Bell,"Packard Bell ENTG81BA-P35J
140261038,Lenovo,"Lenovo IdeaPad 300-17ISK
140249600,ASUS,"ASUS ZenBook 3 UX390UA
140249608,ASUS,"ASUS VivoBook X540LA
140261022,Dell,"Dell Inspiron 3168
140261032,Lenovo,"Lenovo IdeaPad 710S-13ISK Plus
140261043,Lenovo,"Lenovo IdeaPad 510S-14ISK
140534120,ASUS,"ASUS N552VX Special Edition
140534128,ASUS,"ASUS ROG GL752VW
140534123,ASUS,"ASUS ROG GL502VM
140534136,ASUS,"Ноутбук ASUS X756UV
139792424,Prestigio,"Prestigio SmartBook 116A
139036315,Dell,"Ноутбук Dell Inspiron
139540404,ASUS,"ASUS VivoBook X540SA
139437897,ASUS,ASUS ZenBook UX310UQ (UX310UQ-FC217T)
139437898,ASUS,"Ноутбук ASUS ZenBook UX310UA
139540402,ASUS,"ASUS A553SA-XX307T
139540405,ASUS,"ASUS X540SA-XX012T
139540406,ASUS,"ASUS VivoBook X540SA
139540414,Lenovo,"Lenovo IdeaPad 110-15ACL
138897034,ASUS,"Ноутбук ASUS Vivobook Max X541SA
138897031,MSI,"MSI GT72VR 6RE-402RU Dominator Pro
138897033,ASUS,"ASUS VivoBook E200HA
139805082,Lenovo,"Lenovo IdeaPad 100S-14IBR
139805086,Lenovo,"Lenovo IdeaPad 110-15IBR
139805087,Lenovo,"Lenovo IdeaPad 110-15IBR
139387090,Apple,"Apple MacBook Pro 15""
139233077,MSI,"MSI GS73VR 6RF-035RU Stealth Pro 4K
139233079,MSI,"MSI GE62VR 6RF-261RU Apache Pro
139233078,MSI,"MSI GS73VR 6RF-023RU Stealth Pro 4K
139233086,MSI,"MSI GT62VR 6RE-201RU Dominator Pro
140430187,Acer,"Acer Extensa EX2530-C317
140430190,Acer,"Ноутбук Acer Extensa EX2519-P5PG
140430208,ASUS,"ASUS X540LJ-XX528T
140959339,Dell,"Dell Inspiron 7567-9347
140959342,Dell,"Ноутбук Dell Vostro
140959343,Acer,"Acer Spin 7 SP714-51-M0RP
140959347,Dell,"Ноутбук Dell Inspiron
140959337,Dell,"Ноутбук Dell Inspiron 3567
141927294,ASUS,"Ноутбук ASUS VivoBook X540YA
142101172,MSI,"MSI GS63 7RD-065RU Stealth
142262736,HP,"HP 15-BA025UR
142331012,Acer,"Ноутбук Acer TravelMate TMP259-MG
141927272,Dell,"Dell Inspiron 5565-7476
